{'Position': 'P4', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P4', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P10', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P10', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P12', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P12', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P2', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P14', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P14', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P13', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P13', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P11', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P11', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P0', 'Docked': False, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P0', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P0', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P0', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P0', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P0', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P7', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P7', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P6', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P8', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P8', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P4', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P4', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
