{'Position': 'P3', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P3', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P8', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P8', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P8', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P9', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P9', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': False, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'None'}
{'Position': 'P1', 'Docked': True, 'Holding': True, 'Battery': 'L3', 'Error': 'None'}
