{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
{'Position': 'P7', 'Docked': True, 'Holding': False, 'Battery': 'L3', 'Error': 'E4'}
